                   frame  Start Frame
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene22/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene21/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene21/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene20/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene20/ui/touchinLocal (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene19/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene19/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene18/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene18/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene17/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene17/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene16/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene16/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene15/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene15/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene11/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene11/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene10/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene10/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene8/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene8/ui/touchinLocal (DAT:touchin)
    0.001 ms       misc   Network Message Check /renderClient/scenes/scene7/AR_FB_/FB_BKG_DATAINGEST/touchinB (DAT:touchin)
    0.001 ms       misc   Network Message Check /renderClient/scenes/scene7/AR_FB_/FB_BKG_DATAINGEST/touchinA (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene7/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene7/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene6/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene6/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene5/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene5/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene4/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene4/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene2/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene2/ui/touchinLocal (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene1/ui/touchinMulti (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene1/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene12/ui/touchinLocal (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene12/ui/touchinMulti (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene9/ui/touchinLocal (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/scenes/scene9/ui/touchinMulti (DAT:touchin)
